x	GeneID
CAPZB	832
AL031727.2	0
MINOS1	440574
NBL1	4681
MINOS1-NBL1	100532736
HTR6	3362
TMCO4	255104
RNF186	54546
AL391883.1	0
OTUD3	23252
PLA2G2E	30814
PLA2G2A	5320
PLA2G5	5322
PLA2G2D	26279
PLA2G2F	64600
Z98257.1	0
PLA2G2C	391013
UBXN10-AS1	101928017
UBXN10	127733
LINC01757	105376827
Z98257.2	0
VWA5B1	127731
AL020998.1	0
LINC01141	339505
AL139254.1	0
AL139254.2	0
AL139254.3	0
CAMK2N1	55450
MUL1	79594
FAM43B	163933
CDA	978
PINK1	65018
PINK1-AS	100861548
DDOST	1650
KIF17	57576
SH2D5	400745
AL663074.1	0
HP1BP3	50809
EIF4G3	8672
ECE1	1889
AL031005.1	0
AL031728.1	0
AL592309.2	0
NBPF3	84224
ALPL	249
AL359815.1	0
RAP1GAP	5909
USP48	84196
LDLRAD2	401944
HSPG2	3339
CELA3B	23436
CELA3A	10136
LINC01635	101928043
CDC42	998
AL031281.2	0
WNT4	54361
ZBTB40	9923
EPHA8	2046
C1QA	712
C1QC	714
C1QB	713
EPHB2	2048
AL512444.1	0
LACTBL1	646262
TEX46	729059
KDM1A	23028
AL031428.1	0
LUZP1	7798
HTR1D	3352
LINC01355	100996511
AL109936.6	0
HNRNPR	10236
ZNF436	80818
ZNF436-AS1	148898
AL109936.2	0
TCEA3	6920
ASAP3	55616
E2F2	1870
AL021154.1	0
ID3	3399
MDS2	259283
RPL11	6135
ELOA	6924
ELOA-AS1	100506963
PITHD1	57095
LYPLA2	11313
GALE	2582
HMGCL	3155
FUCA1	2517
CNR2	1269
AL590609.3	0
PNRC2	55629
SRSF10	10772
AL591178.1	0
MYOM3	127294
AL591178.2	0
IL22RA1	58985
IFNLR1	163702
AL590683.1	0
AL138902.1	0
GRHL3	57822
STPG1	90529
NIPAL3	57185
RCAN3	11123
AL445686.2	0
NCMAP	400746
SRRM1	10250
AL445648.1	0
CLIC4	25932
RUNX3	864
AL445471.1	0
AL445471.2	0
AL050344.1	0
AL031432.1	0
SYF2	25949
AL031432.5	0
RSRP1	57035
AL031432.3	0
RHD	6007
TMEM50A	23585
RHCE	6006
MACO1	55219
LDLRAP1	26119
AL606491.1	0
MAN1C1	57134
AL031280.1	0
SELENON	57190
AL020996.2	0
AL020996.1	0
MTFR1L	56181
AL020996.3	0
AUNIP	79000
AL033528.2	0
PAQR7	164091
STMN1	3925
PAFAH2	5051
EXTL1	2134
SLC30A2	7780
TRIM63	84676
PDIK1L	149420
FAM110D	79927
C1orf232	110806296
AL391650.1	0
ZNF593	51042
CNKSR1	10256
CATSPER4	378807
CEP85	64793
SH3BGRL3	83442
UBXN11	91544
CD52	1043
CRYBG2	55057
ZNF683	257101
LIN28A	79727
DHDDS	79947
AL513365.2	0
HMGN2	3151
RPS6KA1	6195
AL512408.1	0
ARID1A	8289
PIGV	55650
ZDHHC18	84243
SFN	2810
AL034380.1	0
GPN2	54707
GPATCH3	63906
NUDC	10726
NR0B2	8431
KDF1	126695
TRNP1	388610
TENT5B	115572
SLC9A1	6548
AL590640.1	0
WDTC1	23038
TMEM222	84065
SYTL1	84958
MAP3K6	9064
FCN3	8547
CD164L2	388611
GPR3	2827
WASF2	10163
FO393419.2	0
BX293535.1	0
AHDC1	27245
FGR	2268
LINC02574	111216282
IFI6	2537
AL445490.1	0
FAM76A	199870
STX12	23673
PPP1R8	5511
THEMIS2	9473
RPA2	6118
SMPDL3B	27293
AL512288.1	0
XKR8	55113
EYA3	2140
PTAFR	5724
DNAJC8	22826
ATP5IF1	93974
AL353622.1	0
AL353622.2	0
SESN2	83667
MED18	54797
PHACTR4	65979
RCC1	1104
TRNAU1AP	54952
SNHG12	85028
TAF12	6883
RAB42	115273
LINC01715	105378616
AL360012.1	0
GMEB1	10691
YTHDF2	51441
OPRD1	4985
AL009181.1	0
EPB41	2035
TMEM200B	399474
AL357500.1	0
SRSF4	6429
MECR	51102
AL590729.1	0
PTPRU	10076
LINC01756	101928460
AC092265.1	0
AL645944.2	0
LINC01648	101929406
AL137076.1	0
AL161638.2	0
AL161638.1	0
MATN1	4146
MATN1-AS1	100129196
LAPTM5	7805
AL137027.1	0
LINC01778	105378622
AL445235.1	0
SDC3	9672
PUM1	9698
NKAIN1	79570
SNRNP40	9410
ZCCHC17	51538
AL451070.1	0
FABP3	2170
SERINC2	347735
AC114488.1	0
TINAGL1	64129
HCRTR1	3061
PEF1	553115
AC114488.2	0
AC114488.3	0
COL16A1	1307
ADGRB2	576
AL354919.2	0
SPOCD1	90853
AL354919.1	0
AL136115.2	0
PTP4A2	8073
AL136115.1	0
AL136115.3	0
KHDRBS1	10657
AL445248.1	0
TMEM39B	55116
KPNA6	23633
TXLNA	200081
CCDC28B	79140
AL049795.1	0
IQCC	55721
DCDC2B	149069
TMEM234	56063
EIF3I	8668
FAM167B	84734
LCK	3932
HDAC1	3065
MARCKSL1	65108
AL109945.1	0
TSSK3	81629
FAM229A	100128071
BSDC1	55108
AL033529.1	0
ZBTB8B	728116
ZBTB8A	653121
ZBTB8OS	339487
RBBP4	5928
SYNC	81493
AC114489.1	0
KIAA1522	57648
YARS	8565
S100PBP	64766
FNDC5	252995
HPCA	3208
TMEM54	113452
RNF19B	127544
AL020995.1	0
AK2	204
AZIN2	113451
TRIM62	55223
AL662907.3	0
ZNF362	149076
AL513327.3	0
A3GALT2	127550
AL513327.1	0
PHC2	1912
AL513327.2	0
ZSCAN20	7579
CSMD2	114784
HMGB4	127540
CSMD2-AS1	402779
C1orf94	84970
SMIM12	113444
GJB5	2709
GJB4	127534
AL121988.1	0
GJB3	2707
GJA4	2701
AL122010.1	0
DLGAP3	58512
AC114490.3	0
AC114490.2	0
TMEM35B	100506144
ZMYM6	9204
ZMYM1	79830
AL590434.1	0
SFPQ	6421
ZMYM4	9202
ZMYM4-AS1	100861513
KIAA0319L	79932
NCDN	23154
AC004865.2	0
TFAP2E	339488
PSMB2	5690
C1orf216	127703
CLSPN	63967
AL354864.1	0
AGO4	192670
AGO1	26523
AL139286.2	0
AGO3	192669
AL138787.2	0
TEKT2	27285
ADPRHL2	54936
COL8A2	1296
TRAPPC3	27095
MAP7D1	55700
THRAP3	9967
SH3D21	79729
EVA1B	55194
AL591845.1	0
STK40	83931
LSM10	84967
OSCP1	127700
MRPS15	64960
CSF3R	1441
AL596257.1	0
AC117945.2	0
AC117945.1	0
GRIK3	2899
AL031430.1	0
AL353604.1	0
LINC01137	728431
ZC3H12A	80149
MEAF6	64769
SNIP1	79753
DNALI1	7802
GNL2	29889
RSPO1	284654
C1orf109	54955
CDCA8	55143
EPHA10	284656
MANEAL	149175
AL929472.3	0
YRDC	79693
C1orf122	127687
MTF1	4520
AL929472.2	0
INPP5B	3633
SF3A3	10946
FHL3	2275
UTP11	51118
POU3F1	5453
AL139158.2	0
AL139158.3	0
LINC01343	339442
LINC01685	105378656
AL354702.2	0
RRAGC	64121
AL139260.1	0
MYCBP	26292
AL139260.3	0
GJA9	81025
RHBDL2	54933
AKIRIN1	79647
NDUFS5	4725
MACF1	23499
AL442071.1	0
BMP8A	353500
PABPC4	8761
AL365277.1	0
HEYL	26508
AL035404.2	0
NT5C1A	84618
HPCAL4	51440
PPIE	10450
BMP8B	656
OXCT2	64064
AL033527.3	0
AL033527.5	0
AL033527.4	0
TRIT1	54802
MYCL	4610
AL033527.2	0
MFSD2A	84879
CAP1	10487
PPT1	5538
RLF	6018
TMCO2	127391
AL050341.2	0
ZMPSTE24	10269
COL9A2	1298
SMAP2	64744
AL031985.4	0
ZFP69B	65243
ZFP69	339559
AL603839.3	0
EXO5	64789
AL603839.1	0
AL603839.2	0
ZNF684	127396
RIMS3	9783
AL031289.1	0
NFYC-AS1	100130557
NFYC	4802
KCNQ4	9132
CITED4	163732
AC119677.1	0
CTPS1	1503
SLFNL1-AS1	100507178
SLFNL1	200172
SCMH1	22955
AC093151.3	0
FOXO6	100132074
AC093151.2	0
EDN2	1907
HIVEP3	59269
AL445933.2	0
AC119676.1	0
GUCA2B	2981
GUCA2A	2980
FOXJ3	22887
RIMKLA	284716
ZMYND12	84217
PPCS	79717
CCDC30	728621
PPIH	10465
AC098484.2	0
YBX1	4904
CLDN19	149461
P3H1	64175
C1orf50	79078
AC098484.3	0
AC098484.1	0
TMEM269	100129924
SVBP	374969
ERMAP	114625
AL512353.1	0
ZNF691	51058
SLC2A1	6513
SLC2A1-AS1	440584
AC099795.1	0
FAM183A	440585
EBNA1BP2	10969
CFAP57	149465
TMEM125	128218
C1orf210	149466
TIE1	7075
MPL	4352
AL139289.2	0
CDC20	991
ELOVL1	64834
MED8	112950
AL139289.1	0
SZT2	23334
SZT2-AS1	100873952
HYI	81888
PTPRF	5792
AL451062.3	0
KDM4A	9682
KDM4A-AS1	100132774
ST3GAL3	6487
AL451062.1	0
ARTN	9048
AL357079.1	0
IPO13	9670
DPH2	1802
ATP6V0B	533
B4GALT2	8704
CCDC24	149473
SLC6A9	6536
AL139220.2	0
KLF17	128209
KLF18	105378952
DMAP1	55929
ERI3	79033
RNF220	55182
TMEM53	79639
ARMH1	339541
KIF2C	11004
AL592166.1	0
RPS8	6202
BEST4	266675
PLK3	1263
TCTEX1D4	343521
BTBD19	149478
PTCH2	8643
EIF2B3	8891
HECTD3	79654
UROD	7389
ZSWIM5	57643
LINC01144	400752
HPDL	84842
MUTYH	4595
TOE1	114034
TESK2	10420
CCDC163	126661
MMACHC	25974
PRDX1	5052
AKR1A1	10327
NASP	4678
CCDC17	149483
GPBP1L1	60313
TMEM69	51249
IPP	3652
MAST2	23139
PIK3R3	8503
AL358075.4	0
AL358075.1	0
AL358075.2	0
TSPAN1	10103
AL672043.1	0
POMGNT1	55624
LURAP1	541468
RAD54L	8438
LRRC41	10489
UQCRH	7388
NSUN4	387338
FAAH	2166
DMBX1	127343
AL136373.1	0
MKNK1-AS1	100507423
KNCN	148930
MKNK1	8569
MOB3C	148932
ATPAF1	64756
TEX38	374973
EFCAB14-AS1	100130197
EFCAB14	9813
CYP4B1	1580
CYP4A11	1579
CYP4X1	260293
CYP4Z1	199974
CYP4A22-AS1	0
CYP4A22	284541
LINC00853	100874253
PDZK1IP1	10158
TAL1	6886
AL135960.1	0
STIL	6491
CMPK1	51727
LINC01389	102724077
FOXE3	2301
FOXD2-AS1	84793
FOXD2	2306
LINC01738	107984953
TRABD2B	388630
AL691459.1	0
AC096541.1	0
AL356289.1	0
AL356289.2	0
AL109659.1	0
SLC5A9	200010
AL109659.2	0
SPATA6	54558
AGBL4	84871
BEND5	79656
AC099788.1	0
AL590432.1	0
ELAVL4	1996
AL592182.2	0
AL592182.1	0
AL596275.2	0
AL592182.3	0
DMRTA2	63950
FAF1	11124
AL049637.1	0
CDKN2C	1031
C1orf185	284546
LINC01562	105378716
RNF11	26994
AL162430.2	0
TTC39A	22996
TTC39A-AS1	102724097
EPS15	2060
AC104170.2	0
AC104170.1	0
OSBPL9	114883
NRDC	4898
AL050343.1	0
AL050343.2	0
RAB3B	5865
TXNDC12	51060
KTI12	112970
AL445685.1	0
TXNDC12-AS1	104355143
BTF3L4	91408
ZFYVE9	9372
CC2D1B	200014
AL513218.1	0
ORC1	4998
PRPF38A	84950
TUT4	23318
AL591167.1	0
GPX7	2882
SHISAL2A	348378
COA7	65260
ZYG11B	79699
ZYG11A	440590
AC099677.4	0
ECHDC2	55268
SCP2	6342
PODN	127435
AL445183.1	0
SLC1A7	6512
AL445183.2	0
CPT2	1376
AL606760.2	0
C1orf123	54987
AL606760.3	0
MAGOH	4116
AL606760.1	0
LRP8	7804
AL355483.4	0
AL355483.2	0
AL355483.3	0
LINC01771	105378732
AC119428.1	0
AC119428.2	0
DMRTB1	63948
GLIS1	148979
NDC1	55706
YIPF1	54432
DIO1	1733
HSPB11	51668
LRRC42	115353
LDLRAD1	388633
TMEM59	9528
TCEANC2	127428
AL357673.1	0
CDCP2	200008
AL357673.2	0
CYB5RL	606495
MRPL37	51253
SSBP3	23648
SSBP3-AS1	619518
AL161644.1	0
AL035415.1	0
AC099796.1	0
ACOT11	26027
FAM151A	338094
MROH7	374977
MROH7-TTC4	100527960
TTC4	7268
PARS2	25973
TTC22	55001
AC096536.2	0
LEXM	163747
DHCR24	1718
AC096536.3	0
AC096536.1	0
TMEM61	199964
AL590440.1	0
BSND	7809
PCSK9	255738
USP24	23358
MIR4422HG	109729135
AL603840.1	0
LINC01753	105378739
LINC01755	105378738
AL353681.1	0
AC119674.1	0
AC119674.2	0
LINC01767	105378744
PLPP3	8613
PRKAA2	5563
FYB2	199920
AL360295.1	0
C8A	731
C8B	732
AL161740.1	0
DAB1	1600
AL390243.1	0
DAB1-AS1	101926890
AL445193.2	0
OMA1	115209
TACSTD2	4070
MYSM1	114803
AL136985.3	0
JUN	3725
LINC01135	100131060
AL136985.2	0
AL136985.1	0
AC105277.1	0
LINC01358	101926925
AL592431.2	0
AL592431.1	0
AC093424.1	0
FGGY	55277
AL035416.1	0
HOOK1	51361
CYP2J2	1573
C1orf87	127795
AC097066.1	0
LINC01748	105378763
AC099792.1	0
NFIA	4774
NFIA-AS2	100996570
AC099791.3	0
TM2D1	83941
AC099791.2	0
PATJ	10207
L1TD1	54596
KANK4	163782
USP1	7398
DOCK7	85440
ANGPTL3	27329
AC103923.1	0
ATG4C	84938
AC099794.1	0
LINC01739	105378769
AL162400.1	0
AL162400.2	0
AC096543.1	0
AC096543.2	0
FOXD3-AS1	100996301
FOXD3	27022
ALG6	29929
ITGB3BP	23421
EFCAB7	84455
PGM1	5236
ROR1	4919
ROR1-AS1	101927034
AL445205.1	0
UBE2U	148581
CACHD1	57685
RAVER2	55225
JAK1	3716
AL357078.3	0
AL357078.1	0
AK4	205
DNAJC6	9829
AL139294.1	0
LEPROT	54741
LEPR	3953
AL513493.1	0
PDE4B	5142
AL590783.1	0
SGIP1	84251
AL139147.1	0
TCTEX1D1	200132
INSL5	10022
WDR78	79819
AL592161.1	0
MIER1	57708
SLC35D1	23169
C1orf141	400757
IL23R	149233
IL12RB2	3595
SERBP1	26135
LINC01702	102724481
GADD45A	1647
GNG12	55970
GNG12-AS1	100289178
DIRAS3	9077
WLS	79971
RPE65	6121
DEPDC1	55635
AL138789.1	0
DEPDC1-AS1	101927220
AL035412.1	0
AL033530.1	0
AL691520.1	0
LINC01707	105378785
AL512271.1	0
LINC01758	105378788
LRRC7	57554
AL158840.1	0
LRRC40	55631
SRSF11	9295
AL353771.1	0
ANKRD13C	81573
HHLA3	11147
AL158839.1	0
CTH	1491
AL354872.2	0
LINC01788	101927244
AL513285.1	0
PTGER3	5733
AL031429.1	0
ZRANB2-AS1	100132618
ZRANB2	9406
NEGR1	257194
AL354949.1	0
AL583808.1	0
AL583808.2	0
LINC01360	101927295
LINC02238	109729166
LRRIQ3	127255
FPGT	8790
FPGT-TNNI3K	100526835
TNNI3K	51086
AC093158.1	0
AC105271.1	0
LRRC53	105378803
ERICH3	127254
ERICH3-AS1	101927320
AC135803.1	0
CRYZ	1429
TYW3	127253
AC133865.1	0
AC099786.3	0
AC099786.1	0
LHX8	431707
AC099786.2	0
SLC44A5	204962
AL357314.1	0
ACADM	34
RABGGTB	5876
MSH4	4438
ASB17	127247
AC092813.1	0
AC092813.2	0
ST6GALNAC3	256435
AC104458.1	0
LINC02567	110806286
ST6GALNAC5	81849
AL035409.1	0
PIGK	10026
AK5	26289
AC095030.1	0
AC118549.1	0
USP33	23032
MIGA1	374986
NEXN-AS1	374987
NEXN	91624
FUBP1	8880
DNAJB4	11080
GIPC2	54810
AC103591.3	0
PTGFR	5737
IFI44L	10964
IFI44	10561
ADGRL4	64123
AL353651.2	0
AL353651.1	0
AL353651.3	0
AC099671.1	0
AC098657.2	0
AL606519.1	0
AL136234.1	0
LINC01781	101927412
AC093154.1	0
ADGRL2	23266
AL138799.4	0
AC117944.1	0
AC093580.1	0
LINC01362	103283057
LINC01361	101927498
LINC01712	101927542
LINC01725	101927587
AL035706.1	0
TTLL7	79739
AC104454.2	0
AL359504.2	0
PRKACB	5567
SAMD13	148418
DNASE2B	58511
AL844170.1	0
RPF1	80135
GNG5	2787
SPATA1	100505741
CTBS	1486
AL359762.2	0
LINC01555	439927
SSX2IP	117178
AC104169.1	0
LPAR3	23566
MCOLN2	255231
WDR63	126820
MCOLN3	55283
SYDE2	84144
C1orf52	148423
BCL10	8915
AL078459.1	0
DDAH1	23576
AL360219.1	0
AC092807.3	0
AC092807.2	0
CYR61	3491
AC092807.1	0
ZNHIT6	54680
COL24A1	255631
AL136382.1	0
ODF2L	57489
CLCA2	9635
CLCA1	1179
CLCA4	22802
AL356270.1	0
AL049597.2	0
SH3GLB1	51100
AL355981.1	0
SELENOF	9403
HS2ST1	9653
AL121989.1	0
AC093155.3	0
LINC01140	339524
AC099062.1	0
LMO4	8543
LINC01364	100505768
PKN2-AS1	101927891
PKN2	5586
GTF2B	2959
KYAT3	56267
RBMXL1	494115
GBP3	2635
GBP1	2633
GBP2	2634
GBP7	388646
GBP4	115361
AC099063.4	0
GBP5	115362
AC099063.1	0
GBP6	163351
LRRC8B	23507
LRRC8C-DT	400761
LRRC8C	84230
AC093423.3	0
AC099568.2	0
LRRC8D	55144
AL391497.1	0
ZNF326	284695
AC092783.1	0
BARHL2	343472
LINC01763	105378854
AC091614.1	0
ZNF644	84146
HFM1	164045
CDC7	8317
TGFBR3	7049
BRDT	676
EPHX4	253152
SETSIP	646817
BTBD8	284697
AC104836.1	0
C1orf146	388649
GLMN	11146
RPAP2	79871
GFI1	2672
EVI5	7813
RPL5	6125
FAM69A	388650
MTF2	22823
TMED5	50999
CCDC18	343099
DR1	1810
FNBP1L	54874
BCAR3	8412
AL109613.1	0
DNTTIP2	30836
GCLM	2730
ABCA4	24
AC093579.1	0
ARHGAP29	9411
AC097059.1	0
AC097059.2	0
ABCD3	5825
F3	2152
AC093117.1	0
SLC44A3	126969
CNN3	1266
AC105942.1	0
ALG14	199857
AC095033.1	0
TMEM56	148534
TMEM56-RWDD3	100527978
AC092802.1	0
RWDD3	25950
AC092802.2	0
LINC01760	100996630
LINC01650	101928169
AL445218.1	0
LINC01761	440594
AL356479.1	0
AL683887.1	0
AC099566.1	0
LINC01787	101928241
PTBP2	58155
DPYD	1806
DPYD-AS1	100873932
DPYD-AS2	100873933
MIR137HG	400765
BX005019.1	0
LINC01776	729987
SNX7	51375
PLPPR5	163404
AL445433.2	0
PLPPR4	9890
LINC01708	101928270
PALMD	54873
FRRS1	391059
AGL	178
AC118553.1	0
SLC35A3	23443
AC118553.2	0
MFSD14A	64645
AC093019.2	0
SASS6	163786
TRMT13	54482
LRRC39	127495
DBT	1629
RTCA-AS1	100506007
RTCA	8634
AC104457.2	0
CDC14A	8556
AL589990.1	0
GPR88	54112
LINC01349	100128787
VCAM1	7412
EXTL2	2135
AC104506.1	0
SLC30A7	148867
DPH5	51611
AC093157.2	0
AC093157.1	0
AL109741.1	0
S1PR1	1901
LINC01307	104355286
LINC01709	105378872
OLFM3	118427
AC114485.1	0
AC099567.1	0
COL11A1	1301
AC095032.2	0
RNPC3	55599
AMY2B	280
AMY2A	279
AMY1A	276
AMY1B	277
AMY1C	278
LINC01676	101928476
LINC01677	105378884
AL355306.2	0
LINC01661	105378889
PRMT6	55170
NTNG1	22854
VAV3	10451
VAV3-AS1	100873946
AL390036.1	0
SLC25A24	29957
AL359258.2	0
NBPF4	148545
AL359258.1	0
AL390038.1	0
NBPF6	653149
FAM102B	284611
HENMT1	113802
PRPF38B	55119
FNDC7	163479
AL591719.2	0
STXBP3	6814
AKNAD1	254268
AL449266.1	0
SPATA42	642864
GPSM2	29899
CLCC1	23155
WDR47	22911
TAF13	6884
AL356488.3	0
TMEM167B	56900
AL356488.2	0
C1orf194	127003
KIAA1324	57535
SARS	6301
CELSR2	1952
PSRC1	84722
MYBPHL	343263
SORT1	6272
PSMA5	5686
SYPL2	284612
ATXN7L2	127002
CYB561D1	284613
AMIGO1	57463
GPR61	83873
AL355310.3	0
GNAI3	2773
GNAT2	2780
AMPD2	271
AL355310.2	0
GSTM4	2948
